订单号,用户ID,时间,金额,退款,商品
ORD000001,U0001,2024/11/11 20:05:03,129.0,否,花西子蜜粉饼
ORD000002,U0002,2024/11/11 20:05:05,129.0,否,花西子蜜粉饼
ORD000003,U0003,2024/11/11 20:05:07,129.0,否,花西子蜜粉饼
ORD000004,U0004,2024/11/11 20:05:09,129.0,否,花西子蜜粉饼
ORD000005,U0005,2024/11/11 20:05:11,129.0,否,花西子蜜粉饼
ORD000006,U0006,2024/11/11 20:05:13,129.0,否,花西子蜜粉饼
ORD000007,U0007,2024/11/11 20:05:15,129.0,否,花西子蜜粉饼
ORD000008,U0008,2024/11/11 20:06:33,129.0,否,花西子蜜粉饼
ORD000009,U0009,2024/11/11 20:06:35,129.0,否,花西子蜜粉饼
ORD000010,U0010,2024/11/11 20:06:37,129.0,否,花西子蜜粉饼
ORD000011,U0011,2024/11/11 20:06:39,129.0,否,花西子蜜粉饼
ORD000012,U0012,2024/11/11 20:07:33,129.0,否,花西子蜜粉饼
ORD000013,U0013,2024/11/11 20:07:35,129.0,否,花西子蜜粉饼
ORD000014,U0014,2024/11/11 20:07:37,129.0,否,花西子蜜粉饼
ORD000015,U0015,2024/11/11 20:08:33,129.0,否,花西子蜜粉饼
ORD000016,U0016,2024/11/11 20:08:35,129.0,否,花西子蜜粉饼
ORD000017,U0017,2024/11/11 20:08:37,129.0,否,花西子蜜粉饼
ORD000018,U0018,2024/11/11 20:08:39,129.0,否,花西子蜜粉饼
ORD000019,U0019,2024/11/11 20:08:41,129.0,否,花西子蜜粉饼
ORD000020,U0020,2024/11/11 20:08:43,129.0,否,花西子蜜粉饼
ORD_REF000323,U0020,2024/11/11 20:08:44,129.0,退款,花西子蜜粉饼
ORD000021,U0021,2024/11/11 20:08:45,129.0,否,花西子蜜粉饼
ORD000022,U0022,2024/11/11 20:08:47,129.0,否,花西子蜜粉饼
ORD000023,U0023,2024/11/11 20:08:49,129.0,否,花西子蜜粉饼
ORD000024,U0024,2024/11/11 20:08:51,129.0,否,花西子蜜粉饼
ORD000025,U0025,2024/11/11 20:09:03,129.0,否,花西子蜜粉饼
ORD000026,U0026,2024/11/11 20:09:05,129.0,否,花西子蜜粉饼
ORD000027,U0027,2024/11/11 20:09:07,129.0,否,花西子蜜粉饼
ORD000028,U0028,2024/11/11 20:09:09,129.0,否,花西子蜜粉饼
