订单时间,订单金额,订单号,用户ID,商品名称,商品价格,加购时间,是否退款
2024-11-11 20:01:58,495.96,TB20241111200158212235,USER_00170,波司登轻薄羽绒服,499.0,2024-11-11 19:55:57,否
2024-11-11 20:04:06,209.7,TB20241111200406382602,USER_00151,认养一头牛纯牛奶,69.9,2024-11-11 19:50:19,否
2024-11-11 20:04:41,230.16,TB20241111200441576786,USER_00119,珀莱雅双抗精华液,239.0,2024-11-11 19:57:28,否
2024-11-11 20:05:16,2677.51,TB20241111200516818987,USER_00114,小米空气净化器,899.0,2024-11-11 20:02:23,否
2024-11-11 20:06:19,328.48,TB20241111200619221263,USER_00187,蕉内无痕内衣套装,169.0,2024-11-11 19:46:37,否
2024-11-11 20:07:16,89.74,TB20241111200716602248,USER_00078,三只松鼠坚果礼盒,89.9,2024-11-11 20:05:07,否
2024-11-11 20:08:25,191.59,TB20241111200825108105,USER_00197,优衣库U系列连衣裙,199.0,2024-11-11 20:01:11,否
2024-11-11 20:09:58,164.37,TB20241111200958744986,USER_00132,蕉内无痕内衣套装,169.0,2024-11-11 20:04:45,否
2024-11-11 20:10:54,494.11,TB20241111201054220351,USER_00161,波司登轻薄羽绒服,499.0,2024-11-11 20:06:08,否
2024-11-11 20:10:58,246.46,TB20241111201058766459,USER_00108,花西子空气蜜粉饼,129.0,2024-11-11 19:51:43,否
2024-11-11 20:13:13,69.73,TB20241111201313425498,USER_00086,认养一头牛纯牛奶,69.9,2024-11-11 20:07:45,否
2024-11-11 20:13:27,125.81,TB20241111201327308496,USER_00024,花西子空气蜜粉饼,129.0,2024-11-11 20:11:57,是
2024-11-11 20:14:10,192.72,TB20241111201410460455,USER_00079,优衣库U系列连衣裙,199.0,2024-11-11 20:02:39,否
2024-11-11 20:14:17,382.19,TB20241111201417440140,USER_00108,美的智能电饭煲,399.0,2024-11-11 20:07:21,否
2024-11-11 20:14:40,86.79,TB20241111201440458332,USER_00093,三只松鼠坚果礼盒,89.9,2024-11-11 19:55:36,否
2024-11-11 20:14:57,117.69,TB20241111201457851413,USER_00119,完美日记唇釉#R09,59.9,2024-11-11 20:11:01,是
2024-11-11 20:16:22,166.46,TB20241111201622970357,USER_00148,蕉内无痕内衣套装,169.0,2024-11-11 20:14:57,否
2024-11-11 20:17:38,87.07,TB20241111201738830316,USER_00035,三只松鼠坚果礼盒,89.9,2024-11-11 19:58:36,否
2024-11-11 20:17:42,231.46,TB20241111201742550664,USER_00140,珀莱雅双抗精华液,239.0,2024-11-11 20:06:12,否
2024-11-11 20:17:59,497.23,TB20241111201759493537,USER_00028,波司登轻薄羽绒服,499.0,2024-11-11 20:06:02,否
2024-11-11 20:18:47,233.18,TB20241111201847196168,USER_00070,珀莱雅双抗精华液,239.0,2024-11-11 20:01:59,否
2024-11-11 20:18:51,195.21,TB20241111201851712024,USER_00149,优衣库U系列连衣裙,199.0,2024-11-11 20:09:53,否
2024-11-11 20:18:54,489.98,TB20241111201854807617,USER_00150,波司登轻薄羽绒服,499.0,2024-11-11 20:10:50,否
2024-11-11 20:19:10,134.98,TB20241111201910527809,USER_00062,认养一头牛纯牛奶,69.9,2024-11-11 20:17:54,否
2024-11-11 20:19:25,124.16,TB20241111201925918011,USER_00092,花西子空气蜜粉饼,129.0,2024-11-11 20:16:28,否
2024-11-11 20:20:21,162.85,TB20241111202021964749,USER_00136,蕉内无痕内衣套装,169.0,2024-11-11 20:16:13,否
2024-11-11 20:21:57,67.86,TB20241111202157189772,USER_00091,认养一头牛纯牛奶,69.9,2024-11-11 20:08:20,否
2024-11-11 20:22:03,394.82,TB20241111202203662636,USER_00143,美的智能电饭煲,399.0,2024-11-11 20:20:47,否
2024-11-11 20:22:15,477.86,TB20241111202215179013,USER_00051,波司登轻薄羽绒服,499.0,2024-11-11 20:06:49,否
2024-11-11 20:23:41,116.01,TB20241111202341701987,USER_00090,完美日记唇釉#R09,59.9,2024-11-11 20:08:11,否
2024-11-11 20:24:31,872.05,TB20241111202431138479,USER_00074,小米空气净化器,899.0,2024-11-11 20:09:04,否
2024-11-11 20:24:33,57.11,TB20241111202433523389,USER_00048,完美日记唇釉#R09,59.9,2024-11-11 20:07:11,否
2024-11-11 20:24:41,789.43,TB20241111202441830429,USER_00068,美的智能电饭煲,399.0,2024-11-11 20:18:16,是
2024-11-11 20:25:12,237.89,TB20241111202512795205,USER_00160,珀莱雅双抗精华液,239.0,2024-11-11 20:12:58,否
2024-11-11 20:27:19,1776.41,TB20241111202719691912,USER_00119,小米空气净化器,899.0,2024-11-11 20:17:48,否
2024-11-11 20:28:45,234.55,TB20241111202845926918,USER_00161,珀莱雅双抗精华液,239.0,2024-11-11 20:27:01,否
2024-11-11 20:28:54,189.84,TB20241111202854205907,USER_00198,优衣库U系列连衣裙,199.0,2024-11-11 20:23:29,否
2024-11-11 20:29:10,236.49,TB20241111202910925981,USER_00018,珀莱雅双抗精华液,239.0,2024-11-11 20:20:17,否
2024-11-11 20:29:15,232.58,TB20241111202915179046,USER_00109,珀莱雅双抗精华液,239.0,2024-11-11 20:11:39,否
2024-11-11 20:31:22,58.56,TB20241111203122528361,USER_00041,完美日记唇釉#R09,59.9,2024-11-11 20:27:24,否
2024-11-11 20:33:06,122.75,TB20241111203306639131,USER_00059,花西子空气蜜粉饼,129.0,2024-11-11 20:25:49,是
2024-11-11 20:33:53,125.61,TB20241111203353176365,USER_00012,花西子空气蜜粉饼,129.0,2024-11-11 20:16:44,否
2024-11-11 20:34:20,176.33,TB20241111203420127529,USER_00197,三只松鼠坚果礼盒,89.9,2024-11-11 20:21:08,否
2024-11-11 20:35:05,172.8,TB20241111203505963874,USER_00084,三只松鼠坚果礼盒,89.9,2024-11-11 20:32:53,否
2024-11-11 20:36:00,235.91,TB20241111203600881886,USER_00068,珀莱雅双抗精华液,239.0,2024-11-11 20:25:00,否
2024-11-11 20:36:03,970.5,TB20241111203603424500,USER_00193,波司登轻薄羽绒服,499.0,2024-11-11 20:24:55,否
2024-11-11 20:36:20,168.42,TB20241111203620781533,USER_00058,蕉内无痕内衣套装,169.0,2024-11-11 20:19:24,否
2024-11-11 20:36:21,198.36,TB20241111203621595631,USER_00139,优衣库U系列连衣裙,199.0,2024-11-11 20:24:30,否
2024-11-11 20:36:39,69.08,TB20241111203639326441,USER_00053,认养一头牛纯牛奶,69.9,2024-11-11 20:31:43,否
2024-11-11 20:36:41,118.7,TB20241111203641658582,USER_00022,完美日记唇釉#R09,59.9,2024-11-11 20:17:06,否
2024-11-11 20:36:48,59.17,TB20241111203648469412,USER_00198,完美日记唇釉#R09,59.9,2024-11-11 20:33:16,否
2024-11-11 20:36:54,392.2,TB20241111203654531071,USER_00049,美的智能电饭煲,399.0,2024-11-11 20:29:10,否
2024-11-11 20:37:01,230.09,TB20241111203701109853,USER_00060,珀莱雅双抗精华液,239.0,2024-11-11 20:31:10,否
2024-11-11 20:37:44,485.64,TB20241111203744497399,USER_00116,波司登轻薄羽绒服,499.0,2024-11-11 20:25:08,否
2024-11-11 20:38:15,253.89,TB20241111203815379786,USER_00175,花西子空气蜜粉饼,129.0,2024-11-11 20:27:03,否
2024-11-11 20:40:00,474.91,TB20241111204000769987,USER_00130,珀莱雅双抗精华液,239.0,2024-11-11 20:33:19,否
2024-11-11 20:40:04,127.9,TB20241111204004449759,USER_00024,花西子空气蜜粉饼,129.0,2024-11-11 20:38:14,否
2024-11-11 20:40:05,398.9,TB20241111204005408036,USER_00021,美的智能电饭煲,399.0,2024-11-11 20:35:39,否
2024-11-11 20:41:27,866.33,TB20241111204127219346,USER_00156,小米空气净化器,899.0,2024-11-11 20:26:07,否
2024-11-11 20:42:07,474.91,TB20241111204207501058,USER_00130,珀莱雅双抗精华液,239.0,2024-11-11 20:33:19,否
2024-11-11 20:42:12,398.9,TB20241111204212815894,USER_00021,美的智能电饭煲,399.0,2024-11-11 20:35:39,否
2024-11-11 20:42:38,267.23,TB20241111204238245121,USER_00108,三只松鼠坚果礼盒,89.9,2024-11-11 20:26:25,否
2024-11-11 20:44:28,1151.74,TB20241111204428502219,USER_00124,美的智能电饭煲,399.0,2024-11-11 20:32:59,否
2024-11-11 20:44:56,163.72,TB20241111204456656968,USER_00015,蕉内无痕内衣套装,169.0,2024-11-11 20:41:10,否
2024-11-11 20:45:41,124.55,TB20241111204541159653,USER_00091,花西子空气蜜粉饼,129.0,2024-11-11 20:36:06,是
